TXN_1961373,COFFEE,2.00,2,4.00,CREDIT CARD,TAKEAWAY,2023-09-08,USABLE
TXN_4977031,CAKE,3.00,4,12.00,CASH,IN-STORE,2023-05-16,USABLE
TXN_4271903,COOKIE,1.00,4,4.00,CREDIT CARD,IN-STORE,2023-07-19,USABLE
TXN_7034554,SALAD,5.00,2,10.00,UNKNOWN,UNKNOWN,2023-04-27,USABLE
TXN_3160411,COFFEE,2.00,2,4.00,DIGITAL WALLET,IN-STORE,2023-06-11,USABLE
TXN_2602893,SMOOTHIE,4.00,5,20.00,CREDIT CARD,UNKNOWN,2023-03-31,USABLE
TXN_6699534,SANDWICH,4.00,4,16.00,CASH,UNKNOWN,2023-10-28,USABLE
TXN_2064365,SANDWICH,4.00,5,20.00,UNKNOWN,IN-STORE,2023-12-31,USABLE
TXN_2548360,SALAD,5.00,5,25.00,CASH,TAKEAWAY,2023-11-07,USABLE
TXN_3051279,SANDWICH,4.00,2,8.00,CREDIT CARD,TAKEAWAY,NULL,USABLE
TXN_7619095,SANDWICH,4.00,2,8.00,CASH,IN-STORE,2023-05-03,USABLE
TXN_9437049,COOKIE,1.00,5,5.00,UNKNOWN,TAKEAWAY,2023-06-01,USABLE
TXN_8915701,TEA,1.50,2,3.00,UNKNOWN,IN-STORE,2023-03-21,USABLE
TXN_2847255,SALAD,5.00,3,15.00,CREDIT CARD,IN-STORE,2023-11-15,USABLE
TXN_3765707,SANDWICH,4.00,1,4.00,UNKNOWN,UNKNOWN,2023-06-10,USABLE
TXN_6769710,JUICE,3.00,2,6.00,CASH,IN-STORE,2023-02-24,USABLE
TXN_8876618,CAKE,3.00,5,15.00,CASH,UNKNOWN,2023-03-25,USABLE
TXN_3709394,JUICE,3.00,4,12.00,CASH,TAKEAWAY,2023-01-15,USABLE
TXN_3522028,SMOOTHIE,4.00,5,20.00,CASH,IN-STORE,2023-04-04,USABLE
TXN_3567645,SMOOTHIE,4.00,4,16.00,CREDIT CARD,TAKEAWAY,2023-03-30,USABLE
TXN_5132361,SANDWICH,4.00,3,12.00,DIGITAL WALLET,TAKEAWAY,2023-12-01,USABLE
TXN_2616390,SANDWICH,4.00,2,8.00,UNKNOWN,UNKNOWN,2023-09-18,USABLE
TXN_9400181,SANDWICH,4.00,5,20.00,CASH,IN-STORE,2023-06-03,USABLE
TXN_7958992,SMOOTHIE,4.00,3,12.00,UNKNOWN,UNKNOWN,2023-12-13,USABLE
TXN_5183041,COOKIE,1.00,5,5.00,CREDIT CARD,IN-STORE,2023-04-20,USABLE
TXN_5695074,JUICE,3.00,4,12.00,CREDIT CARD,TAKEAWAY,2023-04-10,USABLE
TXN_8467949,SMOOTHIE,4.00,5,20.00,CREDIT CARD,UNKNOWN,2023-03-11,USABLE
TXN_7640952,CAKE,3.00,4,12.00,DIGITAL WALLET,TAKEAWAY,NULL,USABLE
TXN_1736287,COFFEE,2.00,5,10.00,DIGITAL WALLET,UNKNOWN,2023-06-02,USABLE
TXN_8927252,COOKIE,1.00,2,2.00,CREDIT CARD,UNKNOWN,2023-11-06,USABLE
TXN_9677376,SMOOTHIE,4.00,4,16.00,UNKNOWN,IN-STORE,2023-08-15,USABLE
TXN_7710508,COOKIE,1.00,5,5.00,CASH,UNKNOWN,NULL,USABLE
TXN_8853997,SMOOTHIE,4.00,2,8.00,DIGITAL WALLET,TAKEAWAY,2023-10-09,USABLE
TXN_9130559,SANDWICH,4.00,1,4.00,CREDIT CARD,UNKNOWN,2023-05-28,USABLE
TXN_1080432,SALAD,5.00,2,10.00,CREDIT CARD,IN-STORE,2023-04-29,USABLE
TXN_2655815,SMOOTHIE,4.00,4,16.00,UNKNOWN,TAKEAWAY,2023-06-08,USABLE
TXN_6688524,COFFEE,2.00,4,8.00,UNKNOWN,UNKNOWN,2023-06-29,USABLE
TXN_2083138,SMOOTHIE,4.00,3,12.00,UNKNOWN,IN-STORE,2023-04-17,USABLE
TXN_2427584,SANDWICH,4.00,4,16.00,UNKNOWN,TAKEAWAY,2023-12-22,USABLE
TXN_6650263,TEA,1.50,2,3.00,UNKNOWN,TAKEAWAY,2023-01-10,USABLE
TXN_9620080,JUICE,3.00,4,12.00,UNKNOWN,TAKEAWAY,2023-10-02,USABLE
TXN_1491578,COOKIE,1.00,2,2.00,UNKNOWN,UNKNOWN,2023-02-23,USABLE
TXN_5455792,SALAD,5.00,3,15.00,CASH,UNKNOWN,2023-03-22,USABLE
TXN_8078640,JUICE,3.00,4,12.00,DIGITAL WALLET,IN-STORE,2023-11-03,USABLE
