TXN_1961373,COFFEE,CREDIT CARD,TAKEAWAY,4.00,2.00,2,GOOD,2023-09-08
TXN_4977031,CAKE,CASH,IN-STORE,12.00,3.00,4,GOOD,2023-05-16
TXN_4271903,COOKIE,CREDIT CARD,IN-STORE,4.00,1.00,4,GOOD,2023-07-19
TXN_7034554,SALAD,UNKNOWN,UNKNOWN,10.00,5.00,2,GOOD,2023-04-27
TXN_3160411,COFFEE,DIGITAL WALLET,IN-STORE,4.00,2.00,2,GOOD,2023-06-11
TXN_2602893,SMOOTHIE,CREDIT CARD,UNKNOWN,20.00,4.00,5,GOOD,2023-03-31
TXN_6699534,SANDWICH,CASH,UNKNOWN,16.00,4.00,4,GOOD,2023-10-28
TXN_2064365,SANDWICH,UNKNOWN,IN-STORE,20.00,4.00,5,GOOD,2023-12-31
TXN_2548360,SALAD,CASH,TAKEAWAY,25.00,5.00,5,GOOD,2023-11-07
TXN_3051279,SANDWICH,CREDIT CARD,TAKEAWAY,8.00,4.00,2,GOOD,NULL
TXN_7619095,SANDWICH,CASH,IN-STORE,8.00,4.00,2,GOOD,2023-05-03
TXN_9437049,COOKIE,UNKNOWN,TAKEAWAY,5.00,1.00,5,GOOD,2023-06-01
TXN_2847255,SALAD,CREDIT CARD,IN-STORE,15.00,5.00,3,GOOD,2023-11-15
TXN_3765707,SANDWICH,UNKNOWN,UNKNOWN,4.00,4.00,1,GOOD,2023-06-10
TXN_6769710,JUICE,CASH,IN-STORE,6.00,3.00,2,GOOD,2023-02-24
TXN_8876618,CAKE,CASH,UNKNOWN,15.00,3.00,5,GOOD,2023-03-25
TXN_3709394,JUICE,CASH,TAKEAWAY,12.00,3.00,4,GOOD,2023-01-15
TXN_3522028,SMOOTHIE,CASH,IN-STORE,12.00,4.00,3,GOOD,2023-04-04
TXN_3567645,SMOOTHIE,CREDIT CARD,TAKEAWAY,16.00,4.00,4,GOOD,2023-03-30
TXN_5132361,SANDWICH,DIGITAL WALLET,TAKEAWAY,12.00,4.00,3,GOOD,2023-12-01
TXN_2616390,SANDWICH,UNKNOWN,UNKNOWN,8.00,4.00,2,GOOD,2023-09-18
TXN_9400181,SANDWICH,CASH,IN-STORE,20.00,4.00,5,GOOD,2023-06-03
TXN_7958992,SMOOTHIE,UNKNOWN,UNKNOWN,12.00,4.00,3,GOOD,2023-12-13
TXN_5183041,COOKIE,CREDIT CARD,IN-STORE,5.00,1.00,5,GOOD,2023-04-20
TXN_5695074,JUICE,CREDIT CARD,TAKEAWAY,12.00,3.00,4,GOOD,2023-04-10
TXN_8467949,SMOOTHIE,CREDIT CARD,UNKNOWN,20.00,4.00,5,GOOD,2023-03-11
TXN_7640952,CAKE,DIGITAL WALLET,TAKEAWAY,12.00,3.00,4,GOOD,NULL
TXN_9677376,SMOOTHIE,UNKNOWN,IN-STORE,16.00,4.00,4,GOOD,2023-08-15
TXN_8853997,SMOOTHIE,DIGITAL WALLET,TAKEAWAY,8.00,4.00,2,GOOD,2023-10-09
TXN_9130559,SANDWICH,CREDIT CARD,UNKNOWN,4.00,4.00,1,GOOD,2023-05-28
TXN_1080432,SALAD,CREDIT CARD,IN-STORE,10.00,5.00,2,GOOD,2023-04-29
TXN_2655815,SMOOTHIE,UNKNOWN,TAKEAWAY,16.00,4.00,4,GOOD,2023-06-08
TXN_6688524,COFFEE,UNKNOWN,UNKNOWN,8.00,2.00,4,GOOD,2023-06-29
TXN_2083138,SMOOTHIE,UNKNOWN,IN-STORE,12.00,4.00,3,GOOD,2023-04-17
TXN_2427584,SANDWICH,UNKNOWN,TAKEAWAY,16.00,4.00,4,GOOD,2023-12-22
TXN_6650263,TEA,UNKNOWN,TAKEAWAY,3.00,1.50,2,GOOD,2023-01-10
TXN_9620080,JUICE,UNKNOWN,TAKEAWAY,12.00,3.00,4,GOOD,2023-10-02
TXN_1491578,COOKIE,UNKNOWN,UNKNOWN,2.00,1.00,2,GOOD,2023-02-23
TXN_5455792,SALAD,CASH,UNKNOWN,15.00,5.00,3,GOOD,2023-03-22
TXN_8078640,JUICE,DIGITAL WALLET,IN-STORE,12.00,3.00,4,GOOD,2023-11-03
TXN_9499313,JUICE,UNKNOWN,UNKNOWN,15.00,3.00,5,GOOD,2023-03-02
TXN_8201146,JUICE,CASH,UNKNOWN,15.00,3.00,5,GOOD,2023-06-26
TXN_8230936,CAKE,UNKNOWN,UNKNOWN,9.00,3.00,3,GOOD,2023-05-02
TXN_7742742,CAKE,UNKNOWN,TAKEAWAY,15.00,3.00,5,GOOD,2023-09-05
TXN_6342161,SALAD,UNKNOWN,TAKEAWAY,25.00,5.00,5,GOOD,2023-01-08
TXN_3363746,SMOOTHIE,CREDIT CARD,UNKNOWN,12.00,4.00,3,GOOD,2023-11-25
TXN_8614868,SMOOTHIE,DIGITAL WALLET,TAKEAWAY,20.00,4.00,5,GOOD,2023-12-05
TXN_5522862,COOKIE,CREDIT CARD,TAKEAWAY,2.00,1.00,2,GOOD,2023-03-19
TXN_3578141,CAKE,UNKNOWN,TAKEAWAY,15.00,3.00,5,GOOD,2023-06-27
TXN_2080895,CAKE,DIGITAL WALLET,IN-STORE,9.00,3.00,3,GOOD,2023-04-19
